Time,Analyse.Calculations.ElapsedTimeToCreateLayer,Analyse.Calculations.Heat.TotalCoolTime,Analyse.Calculations.Heat.TotalHeatTime,Analyse.Calculations.Melt[1].ContourLength,Analyse.Calculations.Melt[1].ContourTime,Analyse.Calculations.Melt[1].ScanlengthHistogram[0],Analyse.Calculations.Melt[1].ScanlengthHistogram[10],Analyse.Calculations.Melt[1].ScanlengthHistogram[11],Analyse.Calculations.Melt[1].ScanlengthHistogram[12],Analyse.Calculations.Melt[1].ScanlengthHistogram[13],Analyse.Calculations.Melt[1].ScanlengthHistogram[14],Analyse.Calculations.Melt[1].ScanlengthHistogram[15],Analyse.Calculations.Melt[1].ScanlengthHistogram[16],Analyse.Calculations.Melt[1].ScanlengthHistogram[1],Analyse.Calculations.Melt[1].ScanlengthHistogram[2],Analyse.Calculations.Melt[1].ScanlengthHistogram[3],Analyse.Calculations.Melt[1].ScanlengthHistogram[4],Analyse.Calculations.Melt[1].ScanlengthHistogram[5],Analyse.Calculations.Melt[1].ScanlengthHistogram[6],Analyse.Calculations.Melt[1].ScanlengthHistogram[7],Analyse.Calculations.Melt[1].ScanlengthHistogram[8],Analyse.Calculations.Melt[1].ScanlengthHistogram[9],Analyse.Calculations.Melt[1].SquareBeginSpeed,Analyse.Calculations.Melt[1].SquaresTime,Analyse.Calculations.Preheating[0].ApproximatedTotalPreheatTime,Analyse.Calculations.Preheating[0].Preheat1Area,Analyse.Calculations.Preheating[0].Preheat1Time,Analyse.Calculations.Preheating[0].Preheat2Area,Analyse.Calculations.Preheating[0].Preheat2Time,Analyse.Calculations.Preheating[0].Preheat3Area,Analyse.Calculations.Wafer[2].WaferTime,Builds.State.CurrentBuild.CurrentHeight,Number pores,ratio surface STL / POR,hist_diameter_1pix,hist_diameter_2pix,hist_diameter_3pix,hist_diameter_4pix,hist_diameter_5pix,hist_diameter_6pix,hist_diameter_7pix,hist_diameter_8pix,hist_diameter_9pix,hist_diameter_10pix,hist_diameter_11pix,hist_diameter_12pix,hist_diameter_13pix,hist_diameter_14pix
1.47E+12,0.9600014,0,0,4212.832,5.388334,88,38,301,0,0,0,0,0,64,120,42,129,91,96,56,60,37,45473.68,20.8225,20.02272,43249.3,13.51534,38244.76,6.30773,5004.535,4.045325,0.45,308,0.00561947,33,30,48,50,33,18,15,12,9,4,4,2,3,7
1.47E+12,0.9600014,0,0,4257.1,5.444146,53,34,313,1,1,0,0,0,44,131,194,47,64,108,42,46,36,45473.68,20.65786,20.02209,43210.21,13.50323,38271.52,6.312137,4938.691,4.038732,0.45,308,0.00561947,33,30,48,50,33,18,15,12,9,4,4,2,3,7
1.47E+12,0.9600014,0,0,4257.1,5.444146,53,34,313,1,1,0,0,0,44,131,194,47,64,108,42,46,36,45473.68,20.65786,20.02209,43210.21,13.50323,38271.52,6.312137,4938.691,4.038732,0.5,101,0.000272364,19,4,4,5,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8100011,0,0,4289.233,5.48479,13,542,0,0,0,1,0,0,9,9,10,29,39,113,44,7,0,45473.68,16.62739,20.02191,43249.3,13.51534,38250.71,6.308712,4998.582,4.031239,0.5,101,0.000272364,19,4,4,5,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8100011,0,0,4289.233,5.48479,13,542,0,0,0,1,0,0,9,9,10,29,39,113,44,7,0,45473.68,16.62739,20.02191,43249.3,13.51534,38250.71,6.308712,4998.582,4.031239,0.55,72,0.00011415,7,3,2,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8100011,0,0,4312.492,5.514342,5,527,0,3,0,0,0,0,54,9,70,111,22,75,30,4,2,45473.68,17.96675,20.01802,43210.21,13.50323,38278.32,6.313259,4931.895,4.028282,0.55,72,0.00011415,7,3,2,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.8100011,0,0,4312.492,5.514342,5,527,0,3,0,0,0,0,54,9,70,111,22,75,30,4,2,45473.68,17.96675,20.01802,43210.21,13.50323,38278.32,6.313259,4931.895,4.028282,0.6,62,0.000158462,8,2,2,2,0,1,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4335.604,5.543713,77,37,301,0,0,0,0,0,57,60,187,98,58,119,53,39,38,45473.68,20.79644,20.02171,43249.3,13.51534,38249.25,6.308468,5000.051,4.020089,0.6,62,0.000158462,8,2,2,2,0,1,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4335.604,5.543713,77,37,301,0,0,0,0,0,57,60,187,98,58,119,53,39,38,45473.68,20.79644,20.02171,43249.3,13.51534,38249.25,6.308468,5000.051,4.020089,0.65,51,8.49E-05,6,5,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4357.158,5.571085,119,35,313,1,0,0,0,0,84,84,212,50,48,99,62,45,36,45473.68,21.80298,20.02337,43210.21,13.50323,38279.32,6.313424,4930.895,4.013393,0.65,51,8.49E-05,6,5,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4357.158,5.571085,119,35,313,1,0,0,0,0,84,84,212,50,48,99,62,45,36,45473.68,21.80298,20.02337,43210.21,13.50323,38279.32,6.313424,4930.895,4.013393,0.7,59,0.000131856,10,3,3,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4376.336,5.595455,1,542,1,0,0,0,0,0,75,6,16,112,51,93,13,0,0,45473.68,18.02618,20.01972,43249.3,13.51534,38254.7,6.309366,4994.602,4.008326,0.7,59,0.000131856,10,3,3,1,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4376.336,5.595455,1,542,1,0,0,0,0,0,75,6,16,112,51,93,13,0,0,45473.68,18.02618,20.01972,43249.3,13.51534,38254.7,6.309366,4994.602,4.008326,0.75,57,8.20E-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.9600013,0,0,4394.2,5.618183,17,530,0,0,0,0,0,0,15,14,20,24,52,131,35,5,3,45473.68,16.96869,20.02592,43210.21,13.50323,38327,6.321287,4883.215,4.005445,0.75,57,8.20E-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47E+12,0.7800011,0,0,4394.2,5.618183,17,530,0,0,0,0,0,0,15,14,20,24,52,131,35,5,3,45473.68,16.96869,20.02592,43210.21,13.50323,38327,6.321287,4883.215,4.005445,0.75,57,8.20E-05,8,0,0,0,0,0,0,0,0,0,0,0,0,0
